LONCOD,LATCOD,CDCODE,year_x,school,city,state,address,urbanrural,race,killed_x,injured_x,victims,type,NCESSCH,month_year_x,uid,nces_school_id,nces_district_id,district_name,date,school_year,year_y,time,day_of_week,school_type,enrollment,killed_y,injured_y,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,month_year_y
-75.5849,39.6681,1000.0,2009,William Penn High School,New Castle,Delaware,713 E Basin Rd,suburbtown,BLACK,0,1,1,High School,100023000209.0,2009-01,366,100023000209,1000230.0,Colonial School District,2023-01-10,2022-2023,2023,11:40 AM,Monday,public,2270,0,0,0,accidental,16.0,m,,student,,,,,,,,,551.0,1074.0,511,47.0,11.0,11.0,65.0,0,handgun,,39.668622,-75.584879,128.0,9,12,,New Castle County,10,10003,21.0,2023-01
-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,High School,260110304670.0,2009-02,70,261200004670,2612000.0,Detroit City School District,2005-12-06,2005-2006,2005,1:30 PM,Tuesday,public,1205,0,1,1,indiscriminate,18.0,m,,,0.0,,,,,,,,5.0,1194.0,0,1.0,5.0,,,0,,,42.38469,-83.11269,55.2,8,12,897,Wayne County,26,26163,11.0,2005-12
-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,High School,260110304670.0,2009-02,105,261200004670,2612000.0,Detroit City School District,2009-02-17,2008-2009,2009,2:00 PM,Tuesday,public,919,0,2,2,targeted,17.0,m,,non-student,0.0,,,,,,,,4.0,913.0,0,0.0,2.0,,,1,handgun,,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11.0,2009-02
-93.77398,32.503605,2204.0,2009,Booker T. Washington High School,Shreveport,Louisiana,2104 Milam St,urban,BLACK,0,1,1,High School,220030000208.0,2009-12,113,220030000208,2200300.0,Caddo Parish,2009-12-11,2009-2010,2009,8:10 AM,Friday,public,336,0,1,1,targeted,28.0,m,b,ex-boyfriend of student,0.0,,,,,,,,1.0,335.0,0,0.0,0.0,,,1,handgun,,32.503605,-93.77398,34.55,9,12,278,Caddo Parish,22,22017,12.0,2009-12
-86.741148,34.740322,105.0,2010,Discovery Middle School,Madison,Alabama,1304 Hughes Rd,suburbtown,WHITE,1,0,1,Middle School,10000800495.0,2010-02,114,010000800495,100008.0,Madison City,2010-02-05,2009-2010,2010,1:45 PM,Friday,public,1000,1,0,1,targeted,14.0,m,a,student,0.0,,,,,,,,707.0,188.0,27,50.0,8.0,,,1,.22-caliber pistol,friend's home,34.740322,-86.741148,54.5,7,9,176,Madison County,1,1089,22.0,2010-02
-105.102,39.5869,806.0,2010,Deer Creek Middle School,Littleton,Colorado,9201 W Columbine Dr,suburbtown,WHITE,0,2,2,Elementary School,80480001315.0,2010-02,115,080480001315,804800.0,Jefferson County School District No. R-1,2010-02-23,2009-2010,2010,3:14 PM,Tuesday,public,516,0,2,2,indiscriminate,32.0,m,w,,0.0,,,,,,,,436.0,7.0,46,23.0,4.0,,,0,hunting rifle,,39.5869,-105.102,28.2,7,8,60,Jefferson County,8,8059,21.0,2010-02
-118.209757,33.954604,639.0,2010,South Gate High School,South Gate,California,3351 Firestone Blvd,suburbtown,HISP,0,1,1,High School,62271003364.0,2010-05,117,062271003364,622710.0,Los Angeles Unified,2010-05-18,2009-2010,2010,7:51 AM,Tuesday,public,3289,0,1,1,targeted,15.0,m,,student,0.0,,,,,,,,12.0,11.0,3251,3.0,10.0,0.0,2.0,0,,,33.954604,-118.209757,126.1,9,12,2373,Los Angeles County,6,6037,21.0,2010-05
-121.595961,36.686184,617.0,2010,Alisal High School,Salinas,California,777 Williams Rd,urban,HISP,1,0,1,High School,63398005332.0,2010-10,120,063398005332,633980.0,Salinas Union High,2010-10-01,2010-2011,2010,7:53 AM,Friday,public,2478,1,0,1,targeted,,m,,,0.0,,,,,,,,14.0,10.0,2420,28.0,1.0,5.0,0.0,0,,,36.686184,-121.595961,,3,12,1869,Monterey County,6,6053,12.0,2010-10
-117.311227,33.14836,650.0,2010,Kelly Elementary School,Carlsbad,California,4885 Kelly Dr,urban,WHITE,0,2,2,Elementary School,60750000711.0,2010-10,121,060750000711,607500.0,Carlsbad Unified,2010-10-08,2010-2011,2010,12:00 PM,Friday,public,477,0,2,2,indiscriminate,41.0,m,w,none,0.0,,,,,,,,314.0,12.0,67,36.0,3.0,0.0,45.0,0,.357-caliber magnum revolver,,33.14836,-117.311227,,KG,5,45,San Diego County,6,6073,12.0,2010-10
-96.146049,41.203481,3102.0,2011,Millard South High School,Omaha,Nebraska,14905 Q St,urban,WHITE,1,1,2,High School,317374001251.0,2011-01,123,317374001251,3173740.0,Millard Public Schools,2011-01-05,2010-2011,2011,12:45 PM,Wednesday,public,2043,1,2,3,targeted and indiscriminate,17.0,m,b,student,1.0,suicide,,,,,,,1668.0,79.0,186,32.0,12.0,6.0,60.0,0,Glock .40-caliber S&W pistol,father,41.203481,-96.146049,135.5,9,12,475,Douglas County,31,31055,11.0,2011-01
-120.779419,38.735106,604.0,2011,Louisiana Schnell Elementary School,Placerville,California,2871 Schnell School Rd,suburbtown,WHITE,1,0,1,Elementary School,63078004786.0,2011-02,125,063078004786,630780.0,Placerville Union Elementary,2011-02-02,2010-2011,2011,10:37 AM,Wednesday,public,424,1,0,1,targeted,44.0,m,w,janitor,0.0,,,,,,,,259.0,2.0,121,3.0,8.0,0.0,31.0,0,.357-caliber revolver,legally purchased by shooter,38.735106,-120.779419,,KG,5,264,El Dorado County,6,6017,32.0,2011-02
-81.494124,28.673157,1224.0,2011,Sheeler Charter High School,Apopka,Florida,871 E Semoran Blvd,suburbtown,BLACK,0,1,1,High School,120144003884.0,2011-04,127,120144003884,1201440.0,Orange,2011-04-13,2010-2011,2011,12:00 PM,Wednesday,public,465,0,1,1,accidental,17.0,m,b,,0.0,,,,,,,,104.0,250.0,101,2.0,1.0,0.0,7.0,1,,,28.673157,-81.494124,7.0,9,12,183,Orange County,12,12065,21.0,2011-04
-95.341835,29.800326,4818.0,2011,Ross Elementary School,Houston,Texas,2819 Bay St,urban,BLACK,0,2,2,Elementary School,482364002572.0,2011-04,128,482364002572,4823640.0,Houston ISD,2011-04-19,2010-2011,2011,10:20 AM,Tuesday,public,462,0,2,2,accidental,6.0,m,,student,0.0,,,,,,,,1.0,301.0,145,2.0,9.0,1.0,3.0,0,.380-caliber semi-automatic,"mother's friend, home shooter was staying",29.800326,-95.341835,27.32,PK,5,263,Harris County,48,48201,11.0,2011-04
-78.762384,35.034044,3707.0,2011,Cape Fear High School,Fayetteville,North Carolina,4762 Clinton Rd,rural,WHITE,0,1,1,High School,370001100402.0,2011-10,129,370001100402,3700011.0,Cumberland County Schools,2011-10-24,2011-2012,2011,1:00 PM,Monday,public,1575,0,1,1,targeted,15.0,m,,student,0.0,,,,,,,,913.0,437.0,83,9.0,71.0,3.0,59.0,0,.22-caliber Daisy rifle,,35.034044,-78.762384,93.86,9,12,690,Cumberland County,37,37051,41.0,2011-10
-95.26259,29.868788,4818.0,2012,North Forest High School,Houston,Texas,10726 Mesa Dr,urban,BLACK,0,1,1,High School,483306003674.0,2012-01,131,483306003674,4833060.0,North Forest ISD,2012-01-10,2011-2012,2012,12:30 PM,Tuesday,public,1274,0,1,1,targeted,18.0,m,,student,0.0,,,,,,,,8.0,868.0,395,0.0,2.0,1.0,0.0,1,handgun,,29.868788,-95.26259,88.68,9,12,1271,Harris County,48,48201,11.0,2012-01
-95.26259,29.868788,4818.0,2012,North Forest High School,Houston,Texas,10726 Mesa Dr,urban,BLACK,0,1,1,High School,483306003674.0,2012-01,276,482364013022,4823640.0,Houston Isd,2021-06-09,2020-2021,2021,10:30 AM,Wednesday,public,976,0,1,1,targeted,,,,,,,,,,,,,6.0,570.0,397,0.0,2.0,0.0,1.0,0,,,29.867029,-95.259744,58.28,9,12,931,Harris County,48,48201,11.0,2021-06
-81.199958,41.591297,3914.0,2012,Chardon High School,Chardon,Ohio,151 Chardon Ave,suburbtown,WHITE,3,3,6,High School,390471802789.0,2012-02,134,390471802789,3904718.0,Chardon Local,2012-02-27,2011-2012,2012,7:30 AM,Monday,public,1058,3,3,6,indiscriminate,17.0,m,w,"student at neighboring school, rode bus with some victims",0.0,,,,,,,,1028.0,5.0,9,4.0,4.0,0.0,8.0,0,Ruger MK III .22 caliber semi-automatic handgun,uncle,41.591297,-81.199958,58.0,9,12,193,Geauga County,39,39055,31.0,2012-02
-81.624244,30.3101978,,2012,Episcopal School of Jacksonville,Jacksonville,Florida,4455 Atlantic Blvd,urban,WHITE,1,0,1,High School,259508.0,2012-03,135,259508,,,2012-03-06,2011-2012,2012,1:15 PM,Tuesday,private,869,1,0,1,targeted,28.0,m,w,fired teacher,1.0,suicide,,,,,,,753.0,44.0,25,5.0,3.0,0.0,39.0,0,AK-47 assault-style rifle,legally purchased at gun show,30.308617,-81.617917,92.8,6,12,,Duval County,12,12031,11.0,2012-03
-79.068506,35.879122,3704.0,2012,Mary Scroggs Elementary School,Chapel Hill,North Carolina,501 Kildaire Road,urban,WHITE,1,0,1,Elementary School,370072002474.0,2012-05,137,370072002474,3700720.0,Chapel Hill-Carrboro Schools,2012-05-25,2011-2012,2012,2:00 PM,Friday,public,614,1,0,1,targeted,49.0,m,,parent of students,0.0,,,,,,,,325.0,32.0,106,66.0,1.0,0.0,84.0,0,Charter Arms .44 Bulldog revolver,,35.879122,-79.068506,42.73,KG,5,135,Orange County,37,37135,13.0,2012-05
-76.466091,39.39186,2401.0,2012,Perry Hall High School,Baltimore,Maryland,4601 Ebenezer Road,suburbtown,WHITE,0,1,1,High School,240012000446.0,2012-08,138,240012000446,2400120.0,Baltimore County Public Schools,2012-08-27,2012-2013,2012,10:45 AM,Monday,public,2209,0,1,1,indiscriminate,15.0,m,w,student,0.0,,,,,,,,1361.0,508.0,79,213.0,2.0,1.0,45.0,1,shotgun,,39.39186,-76.466091,129.6,9,12,550,Baltimore County,24,24005,21.0,2012-08
-84.387442,33.708772,1305.0,2013,Price Middle School,Atlanta,Georgia,1670 Benjamin Weldon Bickers Dr SE,urban,BLACK,0,1,1,Middle School,130012000060.0,2013-01,143,130012000060,1300120.0,Atlanta Public Schools,2013-01-31,2012-2013,2013,1:50 PM,Thursday,public,403,0,1,1,targeted,15.0,m,,student,0.0,,,,,,,,0.0,380.0,20,0.0,0.0,0.0,3.0,1,small-caliber handgun,,33.708772,-84.387442,36.0,6,8,384,Fulton County,13,13121,11.0,2013-01
-80.453001,25.5369,1226.0,2013,Redland Middle School,Homestead,Florida,16001 SW 248th St,rural,HISP,0,1,1,Middle School,120039000578.0,2013-05,145,120039000578,1200390.0,Dade,2013-05-23,2012-2013,2013,,Thursday,public,493,0,1,1,accidental,11.0,m,,student,0.0,,,,,,,,44.0,185.0,257,3.0,0.0,0.0,4.0,0,.38 caliber handgun,,25.5369,-80.453001,30.0,6,8,448,Miami-Dade County,12,12086,41.0,2013-05
-81.477878,28.5756506,,2013,Agape Christian Academy,Pine Hills,Florida,2425 N Hiawassee Rd,suburbtown,BLACK,0,2,2,PreK-12,,2013-10,148,A0300751,,,2013-10-04,2013-2014,2013,2:00 PM,Friday,private,331,0,2,2,targeted,,,,none,0.0,,,,,,,,3.0,259.0,4,0.0,0.0,65.0,0.0,0,,,28.57586,-81.475051,22.0,K,12,,Orange County,12,12095,21.0,2013-10
-119.7694,39.5517,3202.0,2013,Sparks Middle School,Sparks,Nevada,2275 18th St,suburbtown,HISP,1,2,3,Middle School,320048000247.0,2013-10,150,320048000247,3200480.0,Washoe County School District,2013-10-21,2013-2014,2013,7:15 AM,Monday,public,721,1,2,3,indiscriminate,12.0,m,h,student,1.0,suicide,,,,,,,146.0,13.0,501,26.0,4.0,9.0,22.0,0,Ruger SR9C semi-automatic handgun (9mm),father,39.5517,-119.7694,35.0,7,8,538,Washoe County,32,32031,21.0,2013-10
-81.5673,28.5428,1210.0,2013,West Orange High School,Winter Garden,Florida,1625 Beulah Rd,suburbtown,WHITE,0,1,1,High School,120144001454.0,2013-12,152,120144001454,1201440.0,Orange,2013-12-04,2013-2014,2013,1:15 PM,Wednesday,public,3749,0,1,1,targeted,17.0,m,b,student,0.0,,,,,,,,1927.0,594.0,898,211.0,28.0,11.0,80.0,1,,,28.5428,-81.5673,158.0,9,12,1255,Orange County,12,12095,21.0,2013-12
-104.9628,39.5817,806.0,2013,Arapahoe High School,Centennial,Colorado,2201 E Dry Creek Rd,suburbtown,WHITE,1,0,1,High School,80531000873.0,2013-12,153,080531000873,805310.0,"Littleton, School District No. 6, In The County Of Arapahoe",2013-12-13,2013-2014,2013,12:30 PM,Friday,public,2273,1,0,1,targeted,18.0,m,w,student,1.0,suicide,,,,,,,1879.0,26.0,225,57.0,9.0,3.0,74.0,1,Savage Arms Stevens Model 320 pump-action shotgun,legally purchased by shooter at Cabela's,39.5817,-104.9628,98.96,9,12,200,Arapahoe County,8,8005,21.0,2013-12
-88.7593,35.675,4708.0,2014,Liberty Technology Magnet High School,Jackson,Tennessee,3470 Ridgecrest Rd Exd,rural,BLACK,0,1,1,High School,470258002032.0,2014-01,154,470258002032,4702580.0,Madison County,2014-01-09,2013-2014,2014,2:21 PM,Thursday,public,802,0,1,1,targeted,16.0,m,b,student,0.0,,,,,,,,275.0,503.0,15,2.0,2.0,0.0,5.0,0,handgun,,35.675,-88.7593,60.3,9,12,561,Madison County,47,47113,41.0,2014-01
-104.5115,33.4736,3502.0,2014,Berrendo Middle School,Roswell,New Mexico,485 Calle Don Tomas,rural,WHITE,0,2,2,Middle School,350225000506.0,2014-01,155,350225000506,3502250.0,Roswell Independent Schools,2014-01-14,2013-2014,2014,7:30 AM,Tuesday,public,632,0,3,3,targeted,12.0,m,w,student,0.0,,,,,,,,311.0,6.0,302,9.0,1.0,2.0,1.0,1,shotgun,,33.4736,-104.5115,36.5,6,8,365,Chaves County,35,35005,41.0,2014-01
-80.4849,35.6648,3712.0,2014,Salisbury High School,Salisbury,North Carolina,500 Lincolnton Rd,suburbtown,BLACK,0,1,1,High School,370405002253.0,2014-02,161,370405002253,3704050.0,Rowan-Salisbury Schools,2014-02-10,2013-2014,2014,2:41 PM,Monday,public,858,0,1,1,targeted,17.0,m,b,,0.0,,,,,,,,274.0,399.0,140,22.0,5.0,0.0,18.0,1,9mm gun (type unknown),,35.6648,-80.4849,54.53,9,12,577,Rowan County,37,37159,22.0,2014-02
