School,Race,Killed,Injured,Victims,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location
Italy High School,W,0,1,1,-96.878968,32.181129,2018,Italy,Texas,Semi-Automatic .380 Caliber Handgun,Unknown,16.0,M,Student,High School,01/22/2018,7:53 AM,No,Yes,No,Yes,Winter,Cafeteria
Marshall County High School,W,2,14,16,-88.332917,36.912835,2018,Benton,Kentucky,Handgun,Stepfather'S Bedroom,15.0,M,Student,High School,01/23/2018,7:57 AM,Unknown,No,No,Yes,Winter,Hallway
Murphy High School,B,0,0,0,-88.0867,30.6828,2018,Mobile,Alabama,Revolver,Stolen,16.0,M,Student,High School,01/25/2018,11:20 AM,Unknown,No,No,No,Winter,Beside Building
Salvador B. Castro Middle School,Unknown,0,5,5,-118.265,34.06169,2018,Los Angeles,California,Semi-Automatic Handgun,Unknown,12.0,F,Student,Middle School,02/01/2018,8:55 AM,Yes,No,No,No,Winter,Classroom
Marjory Stoneman Douglas High School,W,17,17,34,-80.269365,26.304483,2018,Parkland,Florida,Smith & Wesson M&P15,Legally Purchased By Shooter,19.0,M,Former Student (Expelled),High School,02/14/2018,2:21 PM,No,No,No,Yes,Winter,Hallway
Dalton High School,W,0,0,0,-84.99053,34.77972,2018,Dalton,Georgia,.38-Caliber Snub-Nosed Revolver,Unknown,53.0,M,Teacher,High School,02/28/2018,11:30 AM,No,No,No,No,Winter,Classroom
Seaside High School,W,0,3,3,-121.838,36.62444,2018,Seaside,California,Glock 21 .45-Caliber Handgun,Department Issued,Unknown,M,Teacher,High School,03/13/2018,1:20 PM,No,No,No,No,Spring,Classroom
Big Sky High School,Unknown,0,0,0,-114.057737,46.850867,2018,Missoula,Montana,Pistol,Department Issued,Unknown,M,Resource Officer,High School,03/16/2018,12:45 PM,Unknown,Unknown,Unknown,Unknown,Spring,Parking Lot
Douglass Park Elementary School,Unknown,0,1,1,-76.3393,36.81828,2018,Portsmouth,Virginia,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary School,03/19/2018,4:23 PM,No,No,No,No,Spring,Parking Lot
Great Mills High School,W,1,1,2,-76.4875,38.24743,2018,Great Mills,Maryland,Glock Semi-Automatic Handgun,Father,17.0,M,Student,High School,03/20/2018,7:55 AM,No,Yes,No,No,Spring,Hallway
Jackson High School,Unknown,0,0,0,-84.4185,42.2499,2018,Jackson,Michigan,Handgun,Unknown,Unknown,Unknown,Unknown,High School,04/19/2018,1:44 PM,No,No,Unknown,No,Spring,Off School Property
Forest High School,Unknown,0,1,1,-82.066682,29.14362,2018,Ocala,Florida,Shotgun,Unknown,19.0,M,Former Student,High School,04/20/2018,08:39:00,No,No,No,Yes,Spring,Classroom
Highland High School,H,0,1,1,-106.592413,35.074841,2018,Albuquerque,New Mexico,Handgun,Owner'S Gun,Unknown,M,Father Of Student,High School,04/25/2018,14:30:00,No,No,No,No,Spring,Front of School
Highland High School,Unknown,0,1,1,-118.175561,34.591755,2018,Palmdale,California,Rifle,Unknown,14.0,M,Student,High School,05/11/2018,7:05 AM,Unknown,No,No,No,Spring,Bathroom
Dixon High School,W,0,0,0,-89.488508,41.847128,2018,Dixon,Illinois,Rifle,Mother,19.0,M,Student,High School,05/16/2018,8:00 AM,Yes,No,No,Unknown,Spring,Gym
Santa Fe High School,W,10,13,23,-95.143149,29.393257,2018,Santa Fe,Texas,Remington 870 Shotgun And A .38-Caliber Revolver,Unknown,17.0,M,Student,High School,05/18/2018,7:45 AM,Yes,No,No,Yes,Spring,Classroom
Noblesville West Middle School,Unknown,0,2,2,-86.029001,40.07825,2018,Noblesville,Indiana,".22 Caliber Gun, .45 Caliber Gun",Unknown,13.0,M,Student,Middle School,05/25/2018,9:00 AM,No,No,No,No,Spring,Classroom
Villa Heights Elementary School,B,0,0,0,-80.812768,35.236843,2018,Charlotte,North Carolina,.45 Caliber Pistol,Stolen,34.0,M,Former Boyfriend Of Student'S Mother,Elementary School,08/30/2018,8:30 AM,No,Yes,No,No,Summer,Parking Lot
Lawrence Orr Elementary School,B,0,0,0,-80.743914,35.225991,2018,Charlotte,North Carolina,Unknown,Unknown,24.0,M,Unknown,Elementary School,09/24/2018,9:00 AM,No,Unknown,Unknown,No,Fall,Parking Lot
Denali Montessori Elementary School,B,0,1,1,-149.881113,61.213281,2018,Anchorage,Alaska,Sig Sauer .40 Caliber Handgun,Unknown,26.0,M,Boyfriend Of Parent,Elementary School,10/03/2018,10:00:00,No,Yes,No,No,Fall,Front of School
Battle Creek Academy,Unknown,0,0,0,-85.207497,42.33419,2018,Battle Creek,Michigan,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary,10/12/2018,1:00 PM,No,No,Unknown,No,Fall,Off School Property
Butler High School,B,1,0,1,-80.6916,35.1203,2018,Matthews,North Carolina,.380 Pistol,Stolen,16.0,M,Student,High School,10/29/2018,07:15:00,Yes,No,No,No,Fall,Hallway
Simonsdale Elementary School,B,0,1,1,-76.36628,36.82682,2018,Portsmouth,Virginia,Handgun,Unknown,29.0,M,Parent Of Student,Elementary School,11/20/2018,4:00 PM,No,No,No,No,Fall,Hallway
Dennis Intermediate School,Unknown,0,0,0,-84.9114,39.832,2018,Richmond,Indiana,Handgun And A Rifle,Unknown,14.0,M,Student,Middle,12/13/2018,8:00 AM,Yes,No,No,Yes,Winter,Hallway
Cascade Middle School,Unknown,0,0,0,-123.1667,44.0788,2019,Eugene,Oregon,Handgun,Unknown,30.0,M,Father Of Student,Middle School,01/11/2019,10:27 AM,No,No,No,No,Winter,Front of School
Frederick Douglass High School,Unknown,0,1,1,-76.6549,39.3148,2019,Baltimore,Maryland,Smith And Wesson .40 Caliber Gun,Unknown,25.0,M,Brother Of Student,High School,10/29/1971,3:00 PM,No,No,No,No,Fall,Parking Lot
Frederick Douglass High School,Unknown,0,1,1,-76.6549,39.3148,2019,Baltimore,Maryland,Smith And Wesson .40 Caliber Gun,Unknown,25.0,M,Brother Of Student,High School,02/08/2019,1:15 PM,No,No,No,No,Winter,Entryway
V. Sue Cleveland High School,Unknown,0,0,0,-106.641929,35.312773,2019,Rio Rancho,New Mexico,.45 Caliber Handgun,Unknown,16.0,M,Student,High School,02/14/2019,7:00 AM,Unknown,Yes,Unknown,Yes,Winter,Hallway
Highlands Elementary School,W,0,0,0,-94.6409,39.0168,2019,Mission,Kansas,Handgun,Unknown,26.0,M,Neighbor Of School,Elementary School,03/01/2019,13:30:00,No,No,No,No,Spring,Off School Property
Blountsville Elementary School,W,0,1,1,-86.586,34.0847,2019,Blountsville,Alabama,Taurus .380 Pistol,Legally Purchased By Shooter,72.0,M,Substitute Teacher,Elementary School,03/22/2019,11:30 AM,No,No,No,No,Spring,Classroom
Saint Clair Evans Academy,Unknown,0,0,0,-81.695138,30.371086,2019,Jacksonville,Florida,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary,04/03/2019,11:00 AM,No,No,Unknown,No,Spring,Off School Property
Menta Academy North,H,0,0,0,-87.83950925,42.35333175,2019,Waukegan,Illinois,2 Handguns,Unknown,27.0,M,Unknown,Other,06/10/2019,1:45 PM,No,No,No,No,Summer,Front of School
Hendley Elementary School,Unknown,0,0,0,-76.999555,38.828872,2019,Washington,District Of Columbia,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary School,05/30/2019,10:40 PM,No,No,Yes,No,Spring,Front of School
Hendley Elementary School,Unknown,0,0,0,-76.999555,38.828872,2019,Washington,District Of Columbia,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary School,06/12/2019,4:20 PM,No,No,Yes,No,Summer,Front of School
Blount Elementary School,B,0,0,0,-86.1324,32.3106,2019,Montgomery,Alabama,Pistol,Unknown,38.0,M,Father Of Student,Elementary School,08/08/2019,7:30 AM,No,No,No,No,Summer,Parking Lot
Hollenbeck Middle School,Unknown,0,1,1,-118.212583,34.036765,2019,Los Angeles,California,Unknown,Unknown,Unknown,Unknown,Unknown,Middle School,08/27/2019,11:00 AM,No,No,Unknown,No,Summer,Cafeteria
South Aiken High School,Unknown,0,0,0,-81.71303,33.521766,2019,Aiken,South Carolina,Unknown,Unknown,Unknown,Unknown,Unknown,High School,01/27/2017,21:00:00,No,No,Yes,No,Winter,Beside Building
South Aiken High School,Unknown,0,0,0,-81.71303,33.521766,2019,Aiken,South Carolina,Unknown,Unknown,Unknown,Unknown,Unknown,High School,09/10/2019,3:30 PM,No,No,No,No,Fall,Parking Lot
Ridgway High School,Unknown,0,1,1,-122.7226,38.4497,2019,Santa Rosa,California,Unknown,Unknown,17.0,Unknown,Student,High School,10/22/2019,08:56:00,No,No,Yes,No,Fall,Beside Building
Achievement Academy,Unknown,0,1,1,-76.571382,39.366066,2019,Baltimore,Maryland,Unknown,Unknown,Unknown,Unknown,Unknown,High,11/11/2019,2:00 PM,No,No,No,No,Fall,Parking Lot
Esteban Torres High School,Unknown,1,0,1,-118.175531,34.041846,2019,Los Angeles,California,Unknown,Police,Unknown,Unknown,Sheriff'S Deputy,High School,11/13/2019,9:00 AM,Unknown,Unknown,Unknown,Unknown,Fall,Courtyard
Waukesha South High School,W,0,1,1,-88.2237,42.993,2019,Waukesha,Wisconsin,Handgun,Department Issued,Unknown,M,Resource Officer,High School,12/02/2019,10:07:00,Unknown,No,No,Unknown,Winter,Classroom
Oshkosh West High School,W,0,1,1,-88.5736,44.0225,2019,Oshkosh,Wisconsin,Handgun,Department Issued,Unknown,M,Resource Officer,High School,12/03/2019,9:12 AM,Unknown,Unknown,Unknown,Unknown,Winter,Hallway
Decatur High School,Unknown,0,0,0,-86.97216,34.593282,2019,Decatur,Alabama,Unknown,Unknown,22.0,M,Unknown,High School,12/10/2019,8:20 AM,No,Yes,No,No,Winter,Parking Lot
Sacred Heart School,Unknown,0,0,0,-74.083408,40.706963,2019,Jersey City,New Jersey,Unknown,Unknown,Unknown,Unknown,Unknown,K-8,12/10/2019,12:30 PM,No,No,No,No,Winter,Off School Property
West High School,Unknown,0,0,0,-111.900444,40.774742,2020,Salt Lake City,Utah,Unknown,Unknown,Unknown,Unknown,Student,High School,05/24/2004,6:00 AM,No,Yes,No,No,Spring,Parking Lot
Cesar Chavez Community School,Unknown,0,0,0,-106.583882,35.059669,2020,Albuquerque,New Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,Other,02/21/2020,11:20 AM,No,No,Unknown,No,Winter,Front of School
Sagemont School,B,0,1,1,-80.424081,26.13796,2020,Weston,Florida,Unknown,Unknown,55.0,M,Security Guard,K-12,03/05/2020,12:20 PM,No,No,No,No,Spring,Parking Lot
Lincoln Elementary School,Unknown,0,1,1,-78.0429,34.2618,2020,Leland,North Carolina,Unknown,Unknown,Unknown,Unknown,Unknown,Elementary School,11/13/2020,14:15:00,No,No,No,No,Fall,Playground
Hendersonville Middle School,Unknown,0,1,1,-82.473,35.3219,2020,Hendersonville,North Carolina,Unknown,Unknown,12.0,M,Unknown,Middle School,11/25/2020,07:45:00,Unknown,Unknown,No,Unknown,Fall,Gym
Watson Chapel Junior High,B,1,0,1,-92.065921,34.189927,2021,Pine Bluff,Arkansas,Handgun,Unknown,15.0,M,Unknown,Middle School,03/01/2021,09:59:00,No,No,No,No,Spring,Hallway
Bishop Hartley High School,Unknown,0,0,0,-82.910821,39.94497,2021,Columbus,Ohio,Unknown,Unknown,Unknown,Unknown,Unknown,High School,03/09/2021,20:50:00,No,Unknown,Unknown,No,Spring,Gym
Selma High School,B,0,0,0,-87.022637,32.428416,2021,Selma,Alabama,Handgun,Unknown,15.0,M,Unknown,High School,03/13/1991,9:35 AM,No,No,No,No,Spring,Gym
Selma High School,B,0,0,0,-87.022637,32.428416,2021,Selma,Alabama,Handgun,Unknown,15.0,M,Unknown,High School,04/01/2021,13:00:00,Unknown,No,Unknown,No,Spring,Cafeteria
Smyrna Middle School,B,1,0,1,-75.623778,39.302595,2021,Smyrna,Delaware,Handgun,Unknown,47.0,M,Unknown,Middle School,04/27/2021,22:25:00,No,Yes,No,No,Spring,Parking Lot
Ware Shoals High School,W,0,0,0,-82.238603,34.393145,2021,Ware Shoals,South Carolina,Handgun,Mom'S Gun; Kept In Her Car,15.0,M,Unknown,High School,05/05/2021,08:05:00,Unknown,No,No,Unknown,Spring,Parking Lot
Rigby Middle School,Unknown,0,3,3,-111.941927,43.668498,2021,Rigby,Idaho,Handgun,Unknown,Unknown,F,Student,Middle School,05/06/2021,09:15:00,Unknown,No,No,Yes,Spring,Inside School Building
Rigby Middle School,Unknown,0,3,3,-111.941927,43.668498,2021,Rigby,Idaho,Handgun,Unknown,Unknown,F,Student,Middle School,09/23/2021,Unknown,No,No,No,No,Fall,Bathroom
Lithonia High School,Unknown,0,1,1,-84.1294,33.725,2021,Lithonia,Georgia,Handgun,Unknown,Unknown,Unknown,Resource Officer,High School,08/12/2021,15:00:00,Unknown,Unknown,Unknown,Unknown,Fall,Parking Lot
Washington Middle School,Unknown,1,0,1,-106.661691,35.086144,2021,Albuquerque,New Mexico,Handgun,Unknown,13.0,M,Unknown,Middle School,08/13/2021,12:45:00,Yes,No,No,No,Fall,Playground
Orangeburg-Wilkinson High School,Unknown,0,3,3,-80.836538,33.524095,2021,Orangeburg,South Carolina,Unknown,Unknown,14.0,M,Unknown,High School,08/18/2021,16:00:00,Unknown,No,Unknown,No,Fall,Parking Lot
New Hanover High School,B,0,1,1,-77.9324,34.2374,2021,Wilmington,North Carolina,Unknown,Unknown,15.0,M,Unknown,High School,08/30/2021,11:24:00,Yes,No,No,No,Fall,Hallway
Tri-County Education Center,Unknown,0,0,0,-83.159362,42.450386,2021,Ferndale,Michigan,Unknown,Unknown,Unknown,M,Unknown,6-12,09/09/2021,14:30:00,No,No,Unknown,No,Fall,Parking Lot
Heritage High School,Unknown,0,2,2,-76.4272,37.0063,2021,Newport News,Virginia,Unknown,Unknown,15.0,M,Unknown,High School,09/20/2021,11:40:00,No,No,Unknown,No,Fall,Hallway
Timberview High School,B,0,4,4,-97.076321,32.622073,2021,Arlington,Texas,Handgun,Unknown,18.0,M,Student,High School,10/06/2021,09:15:00,No,No,No,No,Fall,Classroom
Little Rock Central High School,Unknown,0,0,0,-92.298954,34.736827,2021,Little Rock,Arkansas,Unknown,Unknown,Unknown,Unknown,Unknown,High School,09/02/2021,08:00:00,No,No,No,No,Fall,Front of School
Little Rock Central High School,Unknown,0,0,0,-92.298954,34.736827,2021,Little Rock,Arkansas,Unknown,Unknown,Unknown,Unknown,Unknown,High School,10/12/2021,11:50:00,No,No,Unknown,No,Fall,Front of School
Wendell Phillips Academy High School,Unknown,0,2,2,-87.6199,41.8244,2021,Chicago,Illinois,Unknown,Unknown,Unknown,Unknown,Unknown,High School,10/12/2021,14:30:00,No,No,Unknown,Yes,Fall,Entryway
Cathedral School,Unknown,0,0,0,-91.394805,31.562163,2021,Natchez,Mississippi,Unknown,Unknown,Unknown,Unknown,Unknown,K-12,10/26/2021,09:20:00,No,No,No,No,Fall,Classroom
Poughkeepsie High School,Unknown,0,0,0,-73.9138,41.6948,2021,Poughkeepsie,New York,.38-Caliber Handgun,Unknown,13.0,M,Student,High School,11/15/2021,15:15:00,No,No,No,No,Fall,Front of School
P.S. 44,Unknown,0,0,0,-73.891,40.8425,2021,Bronx,New York,Handgun,Unknown,45.0,M,Unknown,Elementary,11/16/2021,14:15:00,No,No,Unknown,No,Fall,Front of School
Hinkley High School,Unknown,0,3,3,-104.8086,39.7349,2021,Aurora,Colorado,Unknown,Unknown,16.0,Unknown,Student,High School,11/19/2021,13:50:00,No,No,Unknown,No,Fall,Parking Lot
Thornton Township High School,Unknown,0,0,0,-87.643734,41.61606,2021,Harvey,Illinois,Unknown,Unknown,Unknown,Unknown,Unknown,High School,11/24/2021,15:00:00,No,No,Unknown,No,Fall,Front of School
Oxford High School,W,4,7,11,-83.260782,42.838243,2021,Oxford,Michigan,9Mm Handgun,Parent,15.0,M,Student,High School,08/31/2006,9:40 PM,No,No,No,No,Summer,Football Field/Track
Oxford High School,W,4,7,11,-83.260782,42.838243,2021,Oxford,Michigan,9Mm Handgun,Parent,15.0,M,Student,High School,11/30/2021,12:51:00,Unknown,No,No,Yes,Fall,Inside School Building
Sam Rayburn High School,Unknown,0,0,0,-95.182324,29.678303,2021,Pasadena,Texas,Unknown,Unknown,21.0,M,Unknown,High School,12/12/2017,6:00 PM,No,No,No,No,Winter,Parking Lot
Sam Rayburn High School,Unknown,0,0,0,-95.182324,29.678303,2021,Pasadena,Texas,Unknown,Unknown,21.0,M,Unknown,High School,12/01/2021,11:00:00,No,No,No,No,Winter,Football Field/Track
West Charlotte High School,Unknown,0,0,0,-80.8585,35.2654,2021,Charlotte,North Carolina,Unknown,Unknown,Unknown,Unknown,Student,High School,12/13/2021,14:16:00,No,No,No,No,Winter,Parking Lot
Eau Claire High School,Unknown,0,0,0,-81.040984,34.048231,2021,Columbia,South Carolina,Unknown,Unknown,15.0,M,Student,High School,01/24/1994,Unknown,Yes,No,No,No,Winter,Hallway
Eau Claire High School,Unknown,0,0,0,-81.040984,34.048231,2021,Columbia,South Carolina,Unknown,Unknown,15.0,M,Student,High School,12/16/2021,15:00:00,Unknown,No,Unknown,No,Winter,Parking Lot
Auburn High School,B,0,2,2,-89.137895,42.286784,2022,Rockford,Illinois,9Mm Handgun,Unknown,16.0,M,Unknown,High School,01/04/2022,13:50:00,No,No,No,No,Winter,Parking Lot
Seminole High School,B,0,1,1,-81.283,28.7793,2022,Sanford,Florida,9Mm Handgun,Unknown,16.0,M,Student,High School,01/19/2022,23:57:00,No,Yes,No,No,Winter,Bathroom
Magruder High School,Unknown,0,1,1,-77.1183,39.1313,2022,Rockville,Maryland,Unknown,Unknown,17.0,M,Student,High School,01/21/2022,12:53:00,No,No,Unknown,No,Fall,Bathroom
South Education Center,H,1,1,2,-93.310844,44.868045,2022,Richfield,Minnesota,Unknown,Unknown,19.0,M,Student,K-12,02/01/2022,12:04:00,No,No,Yes,No,Winter,Front of School
Mount Vernon High School,Unknown,0,0,0,-73.8151,40.9258,2022,Mount Vernon,New York,Unknown,Unknown,Unknown,Unknown,Unknown,High School,02/08/2022,14:30:00,No,No,Unknown,No,Winter,Front of School
Olathe East High School,B,0,2,2,-94.7539,38.8959,2022,Olathe,Kansas,Unknown,Unknown,18.0,M,Student,High School,03/04/2022,10:30:00,No,No,No,Unknown,Spring,Office
East High School,Unknown,1,2,3,-93.600681,41.5969,2022,Des Moines,Iowa,Unknown,Unknown,Unknown,Unknown,Unknown,High School,03/07/2022,02:50:00,No,No,Yes,No,Spring,Front of School
North Gardens High School,Unknown,0,3,3,-80.276769,25.938839,2022,Miami Gardens,Florida,Glock,Unknown,17.0,M,Unknown,High School,03/09/2022,13:30:00,No,No,Unknown,No,Spring,Front of School
De Anza High School,Unknown,0,1,1,-122.288035,37.969409,2022,Richmond,California,Unknown,Unknown,Unknown,Unknown,Student,High School,09/27/2019,21:00:00,No,No,Yes,No,Fall,Off School Property
De Anza High School,Unknown,0,1,1,-122.288035,37.969409,2022,Richmond,California,Unknown,Unknown,Unknown,Unknown,Student,High School,03/11/2022,15:00:00,No,No,Unknown,No,Spring,Outside on School Property
Eisenhower High School,Unknown,1,0,1,-120.565796,46.591635,2022,Yakima,Washington,Unknown,Unknown,15.0,M,Student,High School,03/15/2022,15:00:00,No,No,Yes,No,Winter,Parking Lot
Rippon Middle School,B,0,0,0,-77.2671,38.6226,2022,Woodbridge,Virginia,Rifle And Shotgun,Unknown,20.0,M,Unknown,Middle School,03/24/2022,11:11:00,No,Yes,No,No,Spring,Beside Building
Western High School,Unknown,0,2,2,-115.202879,36.176163,2022,Las Vegas,Nevada,Unknown,Unknown,Unknown,Unknown,School Police Officer,High School,01/09/2007,6:30 AM,No,No,No,No,Winter,Parking Lot
Western High School,Unknown,0,2,2,-115.202879,36.176163,2022,Las Vegas,Nevada,Unknown,Unknown,Unknown,Unknown,School Police Officer,High School,03/29/2022,14:15:00,Unknown,Unknown,Unknown,Unknown,Spring,Parking Lot
Erie High School,Unknown,0,1,1,-80.082293,42.101896,2022,Erie,Pennsylvania,9Mm Handgun,Unknown,14.0,M,Student,High School,11/02/2020,00:05:00,Unknown,No,No,No,Fall,Cafeteria
Erie High School,Unknown,0,1,1,-80.082293,42.101896,2022,Erie,Pennsylvania,9Mm Handgun,Unknown,14.0,M,Student,High School,04/05/2022,09:40:00,Unknown,No,Unknown,No,Spring,Hallway
Pine Bluff High School,Unknown,0,0,0,-92.010781,34.219096,2022,Pine Bluff,Arkansas,Unknown,Unknown,Unknown,M,Student,High School,04/11/2022,14:45:00,No,No,Unknown,No,Spring,Parking Lot
Edmund Burke School,Unknown,0,4,4,-77.06209293,38.94304098,2022,Washington,District Of Columbia,Sniper Rifle,Unknown,23.0,M,Unknown,6-12,04/22/2022,15:20:00,Unknown,No,No,Yes,Spring,Hallway
Heights High School,Unknown,0,1,1,-95.3935,29.795384,2022,Houston,Texas,Ak Pistol,Unknown,17.0,M,Student,High School,05/12/2022,13:15:00,No,No,Unknown,No,Spring,Parking Lot
Walt Disney Magnet School,Unknown,0,1,1,-87.6469,41.9568,2022,Chicago,Illinois,Unknown,Unknown,8.0,M,Student,K-8,05/17/2022,10:00:00,No,No,No,No,Spring,Classroom
Mexia High School,Unknown,0,0,0,-96.473307,31.696012,2022,Mexia,Texas,Unknown,Unknown,17.0,M,Student,High School,05/16/2022,11:20:00,No,No,Unknown,No,Spring,Bathroom
Robb Elementary School,H,21,12,33,-99.78812,29.199304,2022,Uvalde,Texas,Unknown,Unknown,18.0,M,Unknown,Elementary School,05/24/2022,11:30:00,Unknown,Unknown,No,Yes,Spring,Inside School Building
Beechcroft High School,Unknown,0,0,0,-82.9647,40.0942,2023,Columbus,Ohio,Unknown,Unknown,15.0,Unknown,Student,High School,09/16/2021,21:53:00,No,No,Unknown,No,Fall,Parking Lot
William Penn High School,Unknown,0,0,0,-75.584879,39.668622,2023,New Castle,Delaware,Handgun,Unknown,16.0,M,Student,High School,02/09/2006,8:50 PM,No,No,No,No,Winter,Parking Lot
William Penn High School,Unknown,0,0,0,-75.584879,39.668622,2023,New Castle,Delaware,Handgun,Unknown,16.0,M,Student,High School,01/08/2009,8:30 PM,No,No,No,No,Winter,Gym
Taylorsville High School,Unknown,0,0,0,-111.936978,40.655508,2023,Taylorsville,Utah,Unknown,Unknown,Unknown,Unknown,Student,High School,10/12/2001,Unknown,No,No,No,No,Fall,Hallway
Palo Duro High School,Unknown,0,1,1,-101.824434,35.228498,2023,Amarillo,Texas,Unknown,Unknown,Unknown,Unknown,Unknown,High School,09/11/1992,10:00 AM,No,No,No,No,Fall,Hallway
Anniston High School,Unknown,0,1,1,-85.82,33.6612,2023,Anniston,Alabama,Unknown,Unknown,Unknown,Unknown,Student,High School,04/30/1982,7:25 AM,No,No,No,No,Spring,Parking Lot
George Wythe High School,Unknown,0,2,2,-77.483075,37.510274,2023,Richmond,Virginia,Unknown,Unknown,18.0,M,Student,High School,05/19/2022,14:13:00,No,No,Unknown,No,Spring,Parking Lot
