School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude
Robert E. Lee High School,2017,3/16/2017,3:00 PM,Montgomery,Alabama,0,1,-86.271649,32.378702
North Park Elementary School,2017,4/10/2017,10:30 AM,San Bernardino,California,2,1,-117.301804,34.179206
Moss Bluff Elementary School,2017,5/15/2017,7:50 AM,Lake Charles,Louisiana,0,1,-93.2032,30.29966
Greensboro High School,2017,5/24/2017,11:30 AM,Greensboro,Alabama,0,0,-87.589,32.70713
Warren Elementary School,2017,6/16/2017,1:51 PM,Chicago,Illinois,0,2,-87.575184,41.726922
Columbus Scioto 6-12,2017,9/8/2017,8:33 AM,Columbus,Ohio,0,0,-82.9958,39.90163
Freeman High School,2017,9/13/2017,10:00 AM,Rockford,Washington,1,3,-117.19638,47.519667
Mattoon High School,2017,9/20/2017,11:30 AM,Mattoon,Illinois,0,1,-88.386955,39.474405
Pattengill Academy,2017,11/3/2017,4:30 PM,Lansing,Michigan,0,1,-84.5243,42.73889
Benjamin Banneker High School,2017,11/9/2017,3:25 PM,College Park,Georgia,0,2,-84.5176,33.59297
Rancho Tehama Elementary School,2017,11/14/2017,7:50 AM,Corning,California,0,2,-122.398455,40.015716
Aztec High School,2017,12/7/2017,8:04 AM,Aztec,New Mexico,2,0,-107.990379,36.820644
High Point Central High School,2017,12/11/2017,2:08 PM,High Point,North Carolina,0,0,-80.0231,35.95795
The NET Charter High School,2018,1/22/2018,1:30 PM,New Orleans,Louisiana,0,0,-90.079691,29.93996
Italy High School,2018,1/22/2018,7:53 AM,Italy,Texas,0,1,-96.878968,32.181129
Marshall County High School,2018,1/23/2018,7:57 AM,Benton,Kentucky,2,14,-88.332917,36.912835
Murphy High School,2018,1/25/2018,11:20 AM,Mobile,Alabama,0,0,-88.0867,30.6828
Salvador B. Castro Middle School,2018,2/1/2018,9:00 AM,Los Angeles,California,0,5,-118.265,34.06169
Marjory Stoneman Douglas High School,2018,2/14/2018,2:21 PM,Parkland,Florida,17,17,-80.269365,26.304483
Dalton High School,2018,2/28/2018,11:30 AM,Dalton,Georgia,0,0,-84.99053,34.77972
Huffman High School,2018,3/7/2018,3:45 PM,Birmingham,Alabama,1,0,-86.682,33.61291
Seaside High School,2018,3/13/2018,1:20 PM,Seaside,California,0,3,-121.838,36.62444
Big Sky High School,2018,3/16/2018,12:45 PM,Missoula,Montana,0,0,-114.057737,46.850867
Douglass Park Elementary School,2018,3/19/2018,4:23 PM,Portsmouth,Virginia,0,1,-76.3393,36.81828
Great Mills High School,2018,3/20/2018,7:55 AM,Great Mills,Maryland,1,1,-76.4875,38.24743
Eupora High School,2018,3/28/2018,2:40 PM,Europa,Mississippi,0,0,-89.274143,33.543141
Jackson High School,2018,4/19/2018,1:44 PM,Jackson,Michigan,0,0,-84.4185,42.2499
Forest High School,2018,4/20/2018,8:39 AM,Ocala,Florida,0,1,-82.066682,29.14362
Benjamin Elijah Mays High School,2018,4/23/2018,1:00 PM,Atlanta,Georgia,0,0,-84.5038,33.7339
Highland High School,2018,4/25/2018,2:30 PM,Albuquerque,New Mexico,0,1,-106.592413,35.074841
Highland High School,2018,5/11/2018,7:05 AM,Palmdale,California,0,1,-118.175561,34.591755
Dixon High School,2018,5/16/2018,8:00 AM,Dixon,Illinois,0,0,-89.488508,41.847128
Santa Fe High School,2018,5/18/2018,7:30 AM,Santa Fe,Texas,10,13,-95.143149,29.393257
Noblesville West Middle School,2018,5/25/2018,9:06 AM,Noblesville,Indiana,0,2,-86.029001,40.07825
Villa Heights Elementary School,2018,8/30/2018,7:30 AM,Charlotte,North Carolina,0,0,-80.812768,35.236843
Canyon Springs High School,2018,9/11/2018,2:35 PM,North Las Vegas,Nevada,1,0,-115.135695,36.233566
Lawrence Orr Elementary School,2018,9/24/2018,9:00 AM,Charlotte,North Carolina,0,0,-80.743914,35.225991
Denali Montessori Elementary School,2018,10/3/2018,10:00 AM,Anchorage,Alaska,0,1,-149.881113,61.213281
Battle Creek Academy,2018,10/12/2018,1:00 PM,Battle Creek,Michigan,0,0,-85.207497,42.33419
Paul Laurence Dunbar School,2018,10/22/2018,8:15 AM,Bridgeport,Connecticut,0,0,-73.164585,41.177547
Butler High School,2018,10/29/2018,7:00 AM,Matthews,North Carolina,1,0,-80.6916,35.1203
Simonsdale Elementary School,2018,11/20/2018,3:45 PM,Portsmouth,Virginia,0,1,-76.36628,36.82682
Dennis Intermediate School,2018,12/13/2018,8:00 AM,Richmond,Indiana,0,0,-84.9114,39.832
Cascade Middle School,2019,1/11/2019,10:30 AM,Eugene,Oregon,0,0,-123.1667,44.0788
North High School,2019,1/16/2019,12:30 PM,Minneapolis,Minnesota,0,0,-93.300234,44.994017
Frederick Douglass High School,2019,2/8/2019,12:00 PM,Baltimore,Maryland,0,1,-76.6549,39.3148
V. Sue Cleveland High School,2019,2/14/2019,7:15 AM,Rio Rancho,New Mexico,0,0,-106.641929,35.312773
Robert E. Lee High School,2019,2/26/2019,11:00 AM,Montgomery,Alabama,0,1,-86.271649,32.378702
Highlands Elementary School,2019,3/1/2019,1:30 PM,Mission,Kansas,0,0,-94.6409,39.0168
Blountsville Elementary School,2019,3/22/2019,12:30 PM,Blountsville,Alabama,0,1,-86.586,34.0847
Prescott High School,2019,4/1/2019,9:14 AM,Prescott,Arkansas,0,1,-93.377376,33.791237
New Joseph Bonnheim Community Charter School,2019,4/3/2019,1:45 PM,Sacramento,California,0,0,-121.4182,38.5333
Saint Clair Evans Academy,2019,4/3/2019,11:00 AM,Jacksonville,Florida,0,0,-81.695138,30.371086
Flex High School,2019,4/17/2019,10:00 AM,Flint,Michigan,0,0,-83.73516,43.059497
STEM School Highlands Ranch,2019,5/7/2019,1:52 PM,Highlands Ranch,Colorado,1,8,-104.9979,39.5559
Menta Academy North,2019,6/10/2019,1:45 PM,Waukegan,Illinois,0,0,-87.83950925,42.35333175
Hendley Elementary School,2019,6/12/2019,4:20 PM,Washington,District of Columbia,0,0,-76.999555,38.828872
Blount Elementary School,2019,8/8/2019,7:26 AM,Montgomery,Alabama,0,0,-86.1324,32.3106
Hollenbeck Middle School,2019,8/27/2019,11:00 AM,Los Angeles,California,0,1,-118.212583,34.036765
South Aiken High School,2019,9/10/2019,,Aiken,South Carolina,0,0,-81.71303,33.521766
Aiton Elementary School,2019,9/25/2019,,Washington,District of Columbia,0,0,-76.933728,38.896669
Ridgway High School,2019,10/22/2019,9:00 AM,Santa Rosa,California,0,1,-122.7226,38.4497
Achievement Academy,2019,11/11/2019,2:00 PM,Baltimore,Maryland,0,1,-76.571382,39.366066
Esteban Torres High School,2019,11/13/2019,9:00 AM,Los Angeles,California,1,0,-118.175531,34.041846
Saugus High School,2019,11/14/2019,7:38 AM,Saugus,California,2,3,-118.518128,34.441924
Waukesha South High School,2019,12/2/2019,9:00 AM,Waukesha,Wisconsin,0,1,-88.2237,42.993
Oshkosh West High School,2019,12/3/2019,9:00 AM,Oshkosh,Wisconsin,0,1,-88.5736,44.0225
Decatur High School,2019,12/10/2019,8:20 AM,Decatur,Alabama,0,0,-86.97216,34.593282
Sacred Heart School,2019,12/10/2019,12:45 PM,Jersey City,New Jersey,0,0,-74.083408,40.706963
Catholic Academy of New Haven,2019,12/16/2019,9:00 AM,New Haven,Connecticut,0,0,-72.963177,41.325823
Bellaire High School,2020,1/14/2020,4:00 PM,Bellaire,Texas,1,0,-95.469159,29.692163
McAuliffe Elementary School,2020,1/23/2020,11:30 AM,Oxnard,California,0,1,-119.2135,34.1876
West High School,2020,2/13/2020,3:00 PM,Salt Lake City,Utah,0,0,-111.900444,40.774742
Antioch High School,2020,2/19/2020,9:30 AM,Antioch,California,0,0,-121.8163,38.0063
Cesar Chavez Community School,2020,2/21/2020,11:00 AM,Albuquerque,New Mexico,0,0,-106.583882,35.059669
Sagemont School,2020,3/5/2020,12:00 PM,Weston,Florida,0,1,-80.424081,26.13796
Ribault High School,2020,10/9/2020,2:00 PM,Jacksonville,Florida,0,1,-81.7073,30.3906
Lincoln Elementary School,2020,11/13/2020,2:00 PM,Leland,North Carolina,0,1,-78.0429,34.2618
Hendersonville Middle School,2020,11/24/2020,7:45 AM,Hendersonville,North Carolina,0,1,-82.473,35.3219
Watson Chapel Junior High,2021,3/1/2021,9:55 AM,Pine Bluff,Arkansas,1,0,-92.065921,34.189927
Wayne Central Middle School,2021,3/1/2021,9:40 AM,Ontario,New York,0,1,-77.3036,43.2197
Achievement First Amistad High School,2021,3/4/2021,8:10 AM,New Haven,Connecticut,0,0,-72.9357119,41.32981839
Edwards Elementary School,2021,3/8/2021,1:30 PM,Chesterfield,South Carolina,0,1,-80.11771,34.737634
Bishop Hartley High School,2021,3/9/2021,8:50 AM,Columbus,Ohio,0,0,-82.910821,39.94497
Selma High School,2021,4/1/2021,1:00 PM,Selma,Alabama,0,0,-87.022637,32.428416
Austin-East Magnet High,2021,4/12/2021,3:15 PM,Knoxville,Tennessee,0,1,-83.887,35.9901
Ply_mouth Middle School,2021,4/26/2021,8:44 AM,Ply_mouth,Minnesota,0,0,-93.406233,45.020964
Smyrna Middle School,2021,4/27/2021,10:25 AM,Smyrna,Delaware,1,0,-75.623778,39.302595
Urban Dove Team Charter School,2021,4/29/2021,2:45 PM,Brooklyn,New York,1,0,-73.954975,40.622473
Mary Evelyn Castle Elementary School,2021,4/30/2021,1:00 PM,Indianapolis,Indiana,0,1,-86.018,39.9081
Ware Shoals High School,2021,5/5/2021,8:00 AM,Ware Shoals,South Carolina,0,0,-82.238603,34.393145
Rigby Middle School,2021,5/6/2021,9:00 AM,Rigby,Idaho,0,3,-111.941927,43.668498
North Forest High School,2021,6/9/2021,10:30 AM,Houston,Texas,0,1,-95.259744,29.867029
Saint Francis de Sales School,2021,8/6/2021,1:00 PM,Houma,Louisiana,0,1,-90.734161,29.60752
Lithonia High School,2021,8/12/2021,3:00 PM,Lithonia,Georgia,0,1,-84.1294,33.725
Washington Middle School,2021,8/13/2021,12:45 PM,Albuquerque,New Mexico,1,0,-106.661691,35.086144
Orangeburg-Wilkinson High School,2021,8/18/2021,4:00 PM,Orangeburg,South Carolina,0,3,-80.836538,33.524095
New Hanover High School,2021,8/30/2021,11:00 AM,Wilmington,North Carolina,0,1,-77.9324,34.2374
Mount Tabor High School,2021,9/1/2021,12:00 PM,Winston-Salem,North Carolina,1,0,-80.3132,36.1268
LaVergne High School,2021,9/7/2021,3:30 PM,Lavergne,Tennessee,0,0,-86.5597,35.9887
Tri-County Education Center,2021,9/8/2021,2:30 PM,Ferndale,Michigan,0,0,-83.159362,42.450386
Heritage High School,2021,9/20/2021,11:39 AM,Newport News,Virginia,0,2,-76.4272,37.0063
Newton County Elementary School,2021,9/30/2021,1:45 PM,Decatur,Mississippi,0,1,-89.105538,32.446371
Cummings K-8 Optional School,2021,9/30/2021,10:00 AM,Memphis,Tennessee,0,1,-90.0283,35.1189
YES Prep Southwest Secondary,2021,10/1/2021,11:45 AM,Houston,Texas,0,1,-95.44306,29.605766
Timberview High School,2021,10/6/2021,9:15 AM,Arlington,Texas,0,4,-97.076321,32.622073
Little Rock Central High School,2021,10/12/2021,11:27 AM,Little Rock,Arkansas,0,0,-92.298954,34.736827
Wendell Phillips Academy High School,2021,10/12/2021,3:15 PM,Chicago,Illinois,0,2,-87.6199,41.8244
James McDade Classical School,2021,10/13/2021,8:38 AM,Chicago,Illinois,0,0,-87.6188,41.7344
Cathedral School,2021,10/26/2021,9:20 AM,Natchez,Mississippi,0,0,-91.394805,31.562163
Poughkeepsie High School,2021,11/15/2021,3:15 PM,Poughkeepsie,New York,0,0,-73.9138,41.6948
P.S. 44,2021,11/16/2021,2:15 PM,Bronx,New York,0,0,-73.891,40.8425
Hinkley High School,2021,11/19/2021,12:00 PM,Aurora,Colorado,0,3,-104.8086,39.7349
Thornton Township High School,2021,11/24/2021,3:00 PM,Harvey,Illinois,0,0,-87.643734,41.61606
Cesar Chavez High School,2021,11/29/2021,3:00 PM,Laveen,Arizona,0,1,-112.1463,33.3757
Oxford High School,2021,11/30/2021,12:50 PM,Oxford,Michigan,4,7,-83.260782,42.838243
Sam Rayburn High School,2021,12/1/2021,11:00 PM,Pasadena,Texas,0,0,-95.182324,29.678303
Great Oaks Charter School,2021,12/9/2021,9:30 AM,New York,New York,0,0,-73.991729,40.719909
Jesse C. Carson High School,2021,12/9/2021,2:00 PM,China Grove,North Carolina,0,0,-80.5457,35.563
West Charlotte High School,2021,12/13/2021,2:15 PM,Charlotte,North Carolina,0,0,-80.8585,35.2654
Eau Claire High School,2021,12/16/2021,3:00 PM,Columbia,South Carolina,0,0,-81.040984,34.048231
Auburn High School,2022,1/4/2022,1:10 PM,Rockford,Illinois,0,2,-89.137895,42.286784
Seminole High School,2022,1/19/2022,12:00 PM,Sanford,Florida,0,1,-81.283,28.7793
Oliver Citywide Academy,2022,1/19/2022,1:45 PM,Pittsburgh,Pennsylvania,1,0,-80.024121,40.464327
Magruder High School,2022,1/21/2022,1:00 PM,Rockville,Maryland,0,1,-77.1183,39.1313
South Education Center,2022,2/1/2022,12:07 PM,Richfield,Minnesota,1,1,-93.310844,44.868045
Mount Vernon High School,2022,2/8/2022,2:00 PM,Mount Vernon,New York,0,0,-73.8151,40.9258
Liberty Point International School,2022,2/22/2022,3:30 PM,Pueblo West,Colorado,1,0,-104.7291,38.3173
Jonesboro High School,2022,2/28/2022,,Clayton County,Georgia,0,0,-84.3428,33.5427
Olathe East High School,2022,3/4/2022,10:30 AM,Olathe,Kansas,0,2,-94.7539,38.8959
East High School,2022,3/7/2022,3:00 PM,Des Moines,Iowa,1,2,-93.600681,41.5969
North Gardens High School,2022,3/9/2022,1:30 PM,Miami Gardens,Florida,0,3,-80.276769,25.938839
De Anza High School,2022,3/11/2022,,Richmond,California,0,1,-122.288035,37.969409
Eisenhower High School,2022,3/15/2022,3:00 PM,Yakima,Washington,1,0,-120.565796,46.591635
Mott-Regent School,2022,3/21/2022,,Hettinger County,North Dakota,1,0,-102.318612,46.372185
Rippon Middle School,2022,3/22/2022,11:00 AM,Woodbridge,Virginia,0,0,-77.2671,38.6226
Western High School,2022,3/29/2022,2:15 PM,Las Vegas,Nevada,0,2,-115.202879,36.176163
West Philadelphia Achievement Charter Elementary School,2022,3/31/2022,9:00 AM,Philadelphia,Pennsylvania,0,0,-89.105653,32.780532
Tanglewood Middle,2022,3/31/2022,12:26 PM,Greenville,South Carolina,1,0,-82.46882,34.824083
Lowellville Junior/Senior High School,2022,4/5/2022,10:00 AM,Lowellville,Ohio,0,0,-80.552325,41.044822
Erie High School,2022,4/5/2022,9:20 AM,Erie,Pennsylvania,0,1,-80.082293,42.101896
Pine Bluff High School,2022,4/11/2022,2:45 PM,Pine Bluff,Arkansas,0,0,-92.010781,34.219096
Edmund Burke School,2022,4/22/2022,3:18 PM,Washington,District of Columbia,0,4,-77.06209293,38.94304098
Aspen Ridge Elementary School,2022,4/26/2022,1:30 PM,West Ishpeming,Michigan,0,0,-87.7289,46.4805
Heights High School,2022,5/12/2022,1:15 PM,Houston,Texas,0,1,-95.3935,29.795384
Alexander W. Dreyfoos School of Arts,2022,5/13/2022,11:58 AM,West Palm Beach,Florida,1,0,-80.059481,26.709238
Walt Disney Magnet School,2022,5/17/2022,10:00 AM,Chicago,Illinois,0,1,-87.6469,41.9568
Mexia High School,2022,5/17/2022,11:20 AM,Mexia,Texas,0,0,-96.473307,31.696012
Robb Elementary School,2022,5/24/2022,11:33 AM,Uvalde,Texas,21,12,-99.78812,29.199304
Ulysses S. Grant High School,2022,6/1/2022,3:25 PM,Los Angeles,California,0,1,-118.415327,34.177798
Walnut Park Elementary,2022,6/9/2022,9:30 AM,Gadsden,Alabama,1,1,-86.0562,34.0107
John Finney High School,2022,7/20/2022,9:25 AM,Vallejo,California,0,0,-122.243859,38.111902
Madison Park Academy,2022,8/29/2022,1:30 PM,Oakland,California,0,1,-122.178837,37.727297
Mergenthaler Vocational Technical High School,2022,9/2/2022,3:00 PM,Baltimore,Maryland,1,0,-76.5911,39.3322
Treasure Cost Classical Academy,2022,9/19/2022,,Stuart,Florida,0,0,-80.234928,27.120513
Mankato West High School,2022,9/20/2022,12:00 PM,Mankoto,Minnesota,0,0,-94.017529,44.159231
Rudsdale High School,2022,9/28/2022,12:45 PM,Oakland,California,0,6,-122.153923,37.76573
Jeremiah E. Burke High School,2022,10/4/2022,9:30 AM,Dorchester,Massachusetts,0,1,-71.081648,42.306942
James Madison Academic Campus,2022,10/10/2022,3:30 PM,Milwaukee,Wisconsin,0,1,-88.0128,43.1261
Central Visual and Performing Arts High School,2022,10/24/2022,9:10 AM,St. Louis,Missouri,2,7,-90.270897,38.604372
Ingraham High School,2022,11/8/2022,,Seattle,Washington,1,0,-122.3369,47.7257
Ball Elementary School,2022,11/11/2022,1:26 PM,Ball,Louisiana,0,2,-89.629,39.6716
South Vermillion High School,2022,11/17/2022,9:30 AM,Clinton,Indiana,0,1,-87.4138,39.689
Freedom Preparatory High School,2022,12/5/2022,12:27 PM,Memphis,Tennessee,0,1,-90.036586,35.032022
Suitland High School,2022,12/8/2022,10:00 AM,Forestville,Maryland,0,1,-76.917277,38.853645
Fuquay-Varina Middle School,2022,12/8/2022,8:03 AM,Fuquay-Varina,North Carolina,0,0,-78.793497,35.585093
Cleveland High School,2022,12/12/2022,12:30 PM,Portland,Oregon,0,1,-122.6391,45.4985
Benjamin Franklin High School,2023,1/5/2023,,Rochester,New York,0,0,-77.597958,43.188169
Beechcroft High School,2023,1/6/2023,11:30 AM,Columbus,Ohio,0,0,-82.9647,40.0942
Richneck Elementary School,2023,1/6/2023,2:00 PM,Newport News,Virginia,0,1,-76.5237,37.1564
William Penn High School,2023,1/10/2023,11:40 AM,New Castle,Delaware,0,0,-75.584879,39.668622
Booker T. Washington High School,2023,1/10/2023,3:30 PM,New Orleans,Louisiana,0,1,-90.08925,29.94991
Plaza Academy,2023,1/24/2023,12:34 PM,Kansas City,Missouri,0,1,-94.59127529,39.0554877
Taylorsville High School,2023,1/26/2023,,Taylorsville,Utah,0,0,-111.936978,40.655508
Gila Ridge High School,2023,1/30/2023,8:30 AM,Yuma,Arizona,0,2,-114.5107,32.6857
Geary Elementary School,2023,1/31/2023,,Geary,Oklahoma,0,0,-98.324487,35.629468
Ridgeview Jr. High School,2023,2/2/2023,10:00 AM,Pickerington,Ohio,0,0,-88.6136,40.5638
PS 78,2023,2/13/2023,12:35 PM,Staten Island,New York,0,0,-74.0787,40.6223
Dalhart ISD schools,2023,2/13/2023,12:00 PM,Dalhart,Texas,1,0,-102.499399,36.047164
Westinghouse Academy,2023,2/14/2023,,Pittsburgh,Pennsylvania,0,4,-79.9012,40.4609
Palo Duro High School,2023,3/6/2023,2:00 PM,Amarillo,Texas,0,1,-101.824434,35.228498
Lamar High School,2023,3/20/2023,6:55 AM,Arlington,Texas,1,1,-97.125993,32.763804
Anniston High School,2023,3/22/2023,12:45 PM,Anniston,Alabama,0,1,-85.82,33.6612
East High School,2023,3/22/2023,9:55 AM,Denver,Colorado,0,2,-104.9557,39.7416
Northridge Middle School,2023,3/24/2023,,Middlebury,Indiana,0,0,-85.726857,41.672866
The Covenant School,2023,3/27/2023,10:13 AM,Nashville,Tennessee,6,0,-86.82526612,36.09286762
George Wythe High School,2023,4/27/2023,12:02 PM,Richmond,Virginia,0,2,-77.483075,37.510274
West High School,2023,4/28/2023,9:20 AM,Knoxville,Tennessee,0,1,-83.973,35.9485
International Academy of Flint K12,2023,5/2/2023,3:30 PM,Flint,Michigan,0,1,-83.6785,42.9966
Von Tobel Ed MS,2023,5/8/2023,12:30 PM,Las Vegas,Nevada,0,1,-115.097412,36.20418
E. Washington Rhodes Elementary School,2023,5/8/2023,11:30 AM,Philadelphia,Pennsylvania,0,0,-75.1781,40.0028
Roosevelt High School,2023,5/17/2023,2:25 PM,Washington,District of Columbia,1,0,-77.029177,38.942971
St. John's Prep,2023,5/22/2023,,Danvers,Massachusetts,0,0,-70.95260296,42.5826821
Oliver Citywide Academy,2023,5/24/2023,7:30 AM,Pittsburgh,Pennsylvania,1,0,-80.024121,40.464327
Michigan Collegiate High School,2023,6/5/2023,2:40 PM,Warren,Michigan,0,0,-83.066681,42.522585
